country,continent,year,metric,value
Botswana,Africa,1967,gdpPercap,1214.709294
Botswana,Africa,1967,lifeExp,53.298
Botswana,Africa,1967,pop,553541.0
Botswana,Africa,1972,gdpPercap,2263.611114
Botswana,Africa,1972,lifeExp,56.024
Botswana,Africa,1972,pop,619351.0
Botswana,Africa,1977,gdpPercap,3214.857818
Botswana,Africa,1977,lifeExp,59.319
Botswana,Africa,1977,pop,781472.0
Botswana,Africa,1982,gdpPercap,4551.14215
Botswana,Africa,1982,lifeExp,61.484
Botswana,Africa,1982,pop,970347.0
Botswana,Africa,1987,gdpPercap,6205.88385
Botswana,Africa,1987,lifeExp,63.622
Botswana,Africa,1987,pop,1151184.0
Botswana,Africa,1992,gdpPercap,7954.111645
Botswana,Africa,1992,lifeExp,62.745
Botswana,Africa,1992,pop,1342614.0
Botswana,Africa,1997,gdpPercap,8647.142313
Botswana,Africa,1997,lifeExp,52.556
Botswana,Africa,1997,pop,1536536.0
Botswana,Africa,2002,gdpPercap,11003.60508
Botswana,Africa,2002,lifeExp,46.634
Botswana,Africa,2002,pop,1630347.0
Botswana,Africa,2007,gdpPercap,12569.85177
Botswana,Africa,2007,lifeExp,50.728
Botswana,Africa,2007,pop,1639131.0
Burkina Faso,Africa,1952,gdpPercap,543.2552413
Burkina Faso,Africa,1952,lifeExp,31.975
Burkina Faso,Africa,1952,pop,4469979.0
Burkina Faso,Africa,1957,gdpPercap,617.1834648
Burkina Faso,Africa,1957,lifeExp,34.906
Burkina Faso,Africa,1957,pop,4713416.0
Burkina Faso,Africa,1962,gdpPercap,722.5120206
Burkina Faso,Africa,1962,lifeExp,37.814
Burkina Faso,Africa,1962,pop,4919632.0
Burkina Faso,Africa,1967,gdpPercap,794.8265597
Burkina Faso,Africa,1967,lifeExp,40.697
Burkina Faso,Africa,1967,pop,5127935.0
Burkina Faso,Africa,1972,gdpPercap,854.7359763
Burkina Faso,Africa,1972,lifeExp,43.591
Burkina Faso,Africa,1972,pop,5433886.0
Burkina Faso,Africa,1977,gdpPercap,743.3870368
Burkina Faso,Africa,1977,lifeExp,46.137
Burkina Faso,Africa,1977,pop,5889574.0
Burkina Faso,Africa,1982,gdpPercap,807.1985855
Burkina Faso,Africa,1982,lifeExp,48.122
Burkina Faso,Africa,1982,pop,6634596.0
Burkina Faso,Africa,1987,gdpPercap,912.0631417
Burkina Faso,Africa,1987,lifeExp,49.557
Burkina Faso,Africa,1987,pop,7586551.0
Burkina Faso,Africa,1992,gdpPercap,931.7527731
Burkina Faso,Africa,1992,lifeExp,50.26
Burkina Faso,Africa,1992,pop,8878303.0
Burkina Faso,Africa,1997,gdpPercap,946.2949618
Burkina Faso,Africa,1997,lifeExp,50.324
Burkina Faso,Africa,1997,pop,10352843.0
Burkina Faso,Africa,2002,gdpPercap,1037.645221
Burkina Faso,Africa,2002,lifeExp,50.65
Burkina Faso,Africa,2002,pop,12251209.0
Burkina Faso,Africa,2007,gdpPercap,1217.032994
Burkina Faso,Africa,2007,lifeExp,52.295
Burkina Faso,Africa,2007,pop,14326203.0
Burundi,Africa,1952,gdpPercap,339.2964587
Burundi,Africa,1952,lifeExp,39.031
Burundi,Africa,1952,pop,2445618.0
Burundi,Africa,1957,gdpPercap,379.5646281
Burundi,Africa,1957,lifeExp,40.533
Burundi,Africa,1957,pop,2667518.0
Burundi,Africa,1962,gdpPercap,355.2032273
Burundi,Africa,1962,lifeExp,42.045
Burundi,Africa,1962,pop,2961915.0
Burundi,Africa,1967,gdpPercap,412.9775136
Burundi,Africa,1967,lifeExp,43.548
Burundi,Africa,1967,pop,3330989.0
Burundi,Africa,1972,gdpPercap,464.0995039
Burundi,Africa,1972,lifeExp,44.057
Burundi,Africa,1972,pop,3529983.0
Burundi,Africa,1977,gdpPercap,556.1032651
Burundi,Africa,1977,lifeExp,45.91
Burundi,Africa,1977,pop,3834415.0
Burundi,Africa,1982,gdpPercap,559.603231
Burundi,Africa,1982,lifeExp,47.471
Burundi,Africa,1982,pop,4580410.0
Burundi,Africa,1987,gdpPercap,621.8188189
Burundi,Africa,1987,lifeExp,48.211
Burundi,Africa,1987,pop,5126023.0
Burundi,Africa,1992,gdpPercap,631.6998778
Burundi,Africa,1992,lifeExp,44.736
Burundi,Africa,1992,pop,5809236.0
Burundi,Africa,1997,gdpPercap,463.1151478
Burundi,Africa,1997,lifeExp,45.326
Burundi,Africa,1997,pop,6121610.0
Burundi,Africa,2002,gdpPercap,446.4035126
Burundi,Africa,2002,lifeExp,47.36
Burundi,Africa,2002,pop,7021078.0
Burundi,Africa,2007,gdpPercap,430.0706916
Burundi,Africa,2007,lifeExp,49.58
Burundi,Africa,2007,pop,8390505.0
Cameroon,Africa,1952,gdpPercap,1172.667655
Cameroon,Africa,1952,lifeExp,38.523
Cameroon,Africa,1952,pop,5009067.0
Cameroon,Africa,1957,gdpPercap,1313.048099
Cameroon,Africa,1957,lifeExp,40.428
Cameroon,Africa,1957,pop,5359923.0
Cameroon,Africa,1962,gdpPercap,1399.607441
Cameroon,Africa,1962,lifeExp,42.643
Cameroon,Africa,1962,pop,5793633.0
Cameroon,Africa,1967,gdpPercap,1508.453148
Cameroon,Africa,1967,lifeExp,44.799
Cameroon,Africa,1967,pop,6335506.0
Cameroon,Africa,1972,gdpPercap,1684.146528
Cameroon,Africa,1972,lifeExp,47.049
Cameroon,Africa,1972,pop,7021028.0
Cameroon,Africa,1977,gdpPercap,1783.432873
Cameroon,Africa,1977,lifeExp,49.355
Cameroon,Africa,1977,pop,7959865.0
Cameroon,Africa,1982,gdpPercap,2367.983282
Cameroon,Africa,1982,lifeExp,52.961
Cameroon,Africa,1982,pop,9250831.0
Cameroon,Africa,1987,gdpPercap,2602.664206
Cameroon,Africa,1987,lifeExp,54.985
Cameroon,Africa,1987,pop,10780667.0
Cameroon,Africa,1992,gdpPercap,1793.163278
Cameroon,Africa,1992,lifeExp,54.314
Cameroon,Africa,1992,pop,12467171.0
Cameroon,Africa,1997,gdpPercap,1694.337469
Cameroon,Africa,1997,lifeExp,52.199
Cameroon,Africa,1997,pop,14195809.0
Cameroon,Africa,2002,gdpPercap,1934.011449
Cameroon,Africa,2002,lifeExp,49.856
Cameroon,Africa,2002,pop,15929988.0
Cameroon,Africa,2007,gdpPercap,2042.09524
Cameroon,Africa,2007,lifeExp,50.43
Cameroon,Africa,2007,pop,17696293.0
Central African Republic,Africa,1952,gdpPercap,1071.310713
Central African Republic,Africa,1952,lifeExp,35.463
Central African Republic,Africa,1952,pop,1291695.0
Central African Republic,Africa,1957,gdpPercap,1190.844328
Central African Republic,Africa,1957,lifeExp,37.464
Central African Republic,Africa,1957,pop,1392284.0
Central African Republic,Africa,1962,gdpPercap,1193.068753
Central African Republic,Africa,1962,lifeExp,39.475
Central African Republic,Africa,1962,pop,1523478.0
Central African Republic,Africa,1967,gdpPercap,1136.056615
Central African Republic,Africa,1967,lifeExp,41.478
Central African Republic,Africa,1967,pop,1733638.0
Central African Republic,Africa,1972,gdpPercap,1070.013275
Central African Republic,Africa,1972,lifeExp,43.457
Central African Republic,Africa,1972,pop,1927260.0
Central African Republic,Africa,1977,gdpPercap,1109.374338
Central African Republic,Africa,1977,lifeExp,46.775
Central African Republic,Africa,1977,pop,2167533.0
Central African Republic,Africa,1982,gdpPercap,956.7529907
Central African Republic,Africa,1982,lifeExp,48.295
Central African Republic,Africa,1982,pop,2476971.0
Central African Republic,Africa,1987,gdpPercap,844.8763504
Central African Republic,Africa,1987,lifeExp,50.485
Central African Republic,Africa,1987,pop,2840009.0
Central African Republic,Africa,1992,gdpPercap,747.9055252
Central African Republic,Africa,1992,lifeExp,49.396
Central African Republic,Africa,1992,pop,3265124.0
Central African Republic,Africa,1997,gdpPercap,740.5063317
Central African Republic,Africa,1997,lifeExp,46.066
Central African Republic,Africa,1997,pop,3696513.0
Central African Republic,Africa,2002,gdpPercap,738.6906068
Central African Republic,Africa,2002,lifeExp,43.308
Central African Republic,Africa,2002,pop,4048013.0
Central African Republic,Africa,2007,gdpPercap,706.016537
Central African Republic,Africa,2007,lifeExp,44.741
Central African Republic,Africa,2007,pop,4369038.0
Chad,Africa,1952,gdpPercap,1178.665927
Chad,Africa,1952,lifeExp,38.092
Chad,Africa,1952,pop,2682462.0
Chad,Africa,1957,gdpPercap,1308.495577
Chad,Africa,1957,lifeExp,39.881
Chad,Africa,1957,pop,2894855.0
Chad,Africa,1962,gdpPercap,1389.817618
Chad,Africa,1962,lifeExp,41.716
Chad,Africa,1962,pop,3150417.0
Chad,Africa,1967,gdpPercap,1196.810565
Chad,Africa,1967,lifeExp,43.601
Chad,Africa,1967,pop,3495967.0
Chad,Africa,1972,gdpPercap,1104.103987
Chad,Africa,1972,lifeExp,45.569
Chad,Africa,1972,pop,3899068.0
Chad,Africa,1977,gdpPercap,1133.98495
Chad,Africa,1977,lifeExp,47.383
Chad,Africa,1977,pop,4388260.0
Chad,Africa,1982,gdpPercap,797.9081006
Chad,Africa,1982,lifeExp,49.517
Chad,Africa,1982,pop,4875118.0
Chad,Africa,1987,gdpPercap,952.386129
Chad,Africa,1987,lifeExp,51.051
Chad,Africa,1987,pop,5498955.0
Chad,Africa,1992,gdpPercap,1058.0643
Chad,Africa,1992,lifeExp,51.724
Chad,Africa,1992,pop,6429417.0
Chad,Africa,1997,gdpPercap,1004.961353
Chad,Africa,1997,lifeExp,51.573
Chad,Africa,1997,pop,7562011.0
Chad,Africa,2002,gdpPercap,1156.18186
Chad,Africa,2002,lifeExp,50.525
Chad,Africa,2002,pop,8835739.0
Chad,Africa,2007,gdpPercap,1704.063724
Chad,Africa,2007,lifeExp,50.651
Chad,Africa,2007,pop,10238807.0
Comoros,Africa,1952,gdpPercap,1102.990936
Comoros,Africa,1952,lifeExp,40.715
Comoros,Africa,1952,pop,153936.0
Comoros,Africa,1957,gdpPercap,1211.148548
Comoros,Africa,1957,lifeExp,42.46
Comoros,Africa,1957,pop,170928.0
Comoros,Africa,1962,gdpPercap,1406.648278
Comoros,Africa,1962,lifeExp,44.467
Comoros,Africa,1962,pop,191689.0
Comoros,Africa,1967,gdpPercap,1876.029643
Comoros,Africa,1967,lifeExp,46.472
Comoros,Africa,1967,pop,217378.0
Comoros,Africa,1972,gdpPercap,1937.577675
Comoros,Africa,1972,lifeExp,48.944
Comoros,Africa,1972,pop,250027.0
Comoros,Africa,1977,gdpPercap,1172.603047
Comoros,Africa,1977,lifeExp,50.939
Comoros,Africa,1977,pop,304739.0
Comoros,Africa,1982,gdpPercap,1267.100083
Comoros,Africa,1982,lifeExp,52.933
Comoros,Africa,1982,pop,348643.0
Comoros,Africa,1987,gdpPercap,1315.980812
Comoros,Africa,1987,lifeExp,54.926
Comoros,Africa,1987,pop,395114.0
Comoros,Africa,1992,gdpPercap,1246.90737
Comoros,Africa,1992,lifeExp,57.939
Comoros,Africa,1992,pop,454429.0
Comoros,Africa,1997,gdpPercap,1173.618235
Comoros,Africa,1997,lifeExp,60.66
Comoros,Africa,1997,pop,527982.0
Comoros,Africa,2002,gdpPercap,1075.811558
Comoros,Africa,2002,lifeExp,62.974
Comoros,Africa,2002,pop,614382.0
Comoros,Africa,2007,gdpPercap,986.1478792
Comoros,Africa,2007,lifeExp,65.152
Comoros,Africa,2007,pop,710960.0
Congo Dem. Rep.,Africa,1952,gdpPercap,780.5423257
Congo Dem. Rep.,Africa,1952,lifeExp,39.143
Congo Dem. Rep.,Africa,1952,pop,14100005.0
Congo Dem. Rep.,Africa,1957,gdpPercap,905.8602303
Congo Dem. Rep.,Africa,1957,lifeExp,40.652
Congo Dem. Rep.,Africa,1957,pop,15577932.0
Congo Dem. Rep.,Africa,1962,gdpPercap,896.3146335
Congo Dem. Rep.,Africa,1962,lifeExp,42.122
Congo Dem. Rep.,Africa,1962,pop,17486434.0
Congo Dem. Rep.,Africa,1967,gdpPercap,861.5932424
Congo Dem. Rep.,Africa,1967,lifeExp,44.056
Congo Dem. Rep.,Africa,1967,pop,19941073.0
Congo Dem. Rep.,Africa,1972,gdpPercap,904.8960685
Congo Dem. Rep.,Africa,1972,lifeExp,45.989
Congo Dem. Rep.,Africa,1972,pop,23007669.0
Congo Dem. Rep.,Africa,1977,gdpPercap,795.757282
Congo Dem. Rep.,Africa,1977,lifeExp,47.804
Congo Dem. Rep.,Africa,1977,pop,26480870.0
Congo Dem. Rep.,Africa,1982,gdpPercap,673.7478181
Congo Dem. Rep.,Africa,1982,lifeExp,47.784
Congo Dem. Rep.,Africa,1982,pop,30646495.0
Congo Dem. Rep.,Africa,1987,gdpPercap,672.774812
Congo Dem. Rep.,Africa,1987,lifeExp,47.412
Congo Dem. Rep.,Africa,1987,pop,35481645.0
Congo Dem. Rep.,Africa,1992,gdpPercap,457.7191807
Congo Dem. Rep.,Africa,1992,lifeExp,45.548
Congo Dem. Rep.,Africa,1992,pop,41672143.0
Congo Dem. Rep.,Africa,1997,gdpPercap,312.188423
Congo Dem. Rep.,Africa,1997,lifeExp,42.587
Congo Dem. Rep.,Africa,1997,pop,47798986.0
Congo Dem. Rep.,Africa,2002,gdpPercap,241.1658765
Congo Dem. Rep.,Africa,2002,lifeExp,44.966
Congo Dem. Rep.,Africa,2002,pop,55379852.0
Congo Dem. Rep.,Africa,2007,gdpPercap,277.5518587
Congo Dem. Rep.,Africa,2007,lifeExp,46.462
Congo Dem. Rep.,Africa,2007,pop,64606759.0
Congo Rep.,Africa,1952,gdpPercap,2125.621418
Congo Rep.,Africa,1952,lifeExp,42.111
Congo Rep.,Africa,1952,pop,854885.0
Congo Rep.,Africa,1957,gdpPercap,2315.056572
Congo Rep.,Africa,1957,lifeExp,45.053
Congo Rep.,Africa,1957,pop,940458.0
Congo Rep.,Africa,1962,gdpPercap,2464.783157
Congo Rep.,Africa,1962,lifeExp,48.435
Congo Rep.,Africa,1962,pop,1047924.0
Congo Rep.,Africa,1967,gdpPercap,2677.939642
Congo Rep.,Africa,1967,lifeExp,52.04
Congo Rep.,Africa,1967,pop,1179760.0
Congo Rep.,Africa,1972,gdpPercap,3213.152683
Congo Rep.,Africa,1972,lifeExp,54.907
Congo Rep.,Africa,1972,pop,1340458.0
Congo Rep.,Africa,1977,gdpPercap,3259.178978
Congo Rep.,Africa,1977,lifeExp,55.625
Congo Rep.,Africa,1977,pop,1536769.0
Congo Rep.,Africa,1982,gdpPercap,4879.507522
Congo Rep.,Africa,1982,lifeExp,56.695
Congo Rep.,Africa,1982,pop,1774735.0
Congo Rep.,Africa,1987,gdpPercap,4201.194937
Congo Rep.,Africa,1987,lifeExp,57.47
Congo Rep.,Africa,1987,pop,2064095.0
Congo Rep.,Africa,1992,gdpPercap,4016.239529
Congo Rep.,Africa,1992,lifeExp,56.433
Congo Rep.,Africa,1992,pop,2409073.0
Congo Rep.,Africa,1997,gdpPercap,3484.164376
Congo Rep.,Africa,1997,lifeExp,52.962
Congo Rep.,Africa,1997,pop,2800947.0
Congo Rep.,Africa,2002,gdpPercap,3484.06197
Congo Rep.,Africa,2002,lifeExp,52.97
Congo Rep.,Africa,2002,pop,3328795.0
Congo Rep.,Africa,2007,gdpPercap,3632.557798
Congo Rep.,Africa,2007,lifeExp,55.322
Congo Rep.,Africa,2007,pop,3800610.0
Cote d'Ivoire,Africa,1952,gdpPercap,1388.594732
Cote d'Ivoire,Africa,1952,lifeExp,40.477
Cote d'Ivoire,Africa,1952,pop,2977019.0
Cote d'Ivoire,Africa,1957,gdpPercap,1500.895925
Cote d'Ivoire,Africa,1957,lifeExp,42.469
Cote d'Ivoire,Africa,1957,pop,3300000.0
Cote d'Ivoire,Africa,1962,gdpPercap,1728.869428
Cote d'Ivoire,Africa,1962,lifeExp,44.93
Cote d'Ivoire,Africa,1962,pop,3832408.0
Cote d'Ivoire,Africa,1967,gdpPercap,2052.050473
Cote d'Ivoire,Africa,1967,lifeExp,47.35
Cote d'Ivoire,Africa,1967,pop,4744870.0
Cote d'Ivoire,Africa,1972,gdpPercap,2378.201111
Cote d'Ivoire,Africa,1972,lifeExp,49.801
Cote d'Ivoire,Africa,1972,pop,6071696.0
Cote d'Ivoire,Africa,1977,gdpPercap,2517.736547
Cote d'Ivoire,Africa,1977,lifeExp,52.374
Cote d'Ivoire,Africa,1977,pop,7459574.0
Cote d'Ivoire,Africa,1982,gdpPercap,2602.710169
Cote d'Ivoire,Africa,1982,lifeExp,53.983
Cote d'Ivoire,Africa,1982,pop,9025951.0
Cote d'Ivoire,Africa,1987,gdpPercap,2156.956069
Cote d'Ivoire,Africa,1987,lifeExp,54.655
Cote d'Ivoire,Africa,1987,pop,10761098.0
Cote d'Ivoire,Africa,1992,gdpPercap,1648.073791
Cote d'Ivoire,Africa,1992,lifeExp,52.044
Cote d'Ivoire,Africa,1992,pop,12772596.0
Cote d'Ivoire,Africa,1997,gdpPercap,1786.265407
Cote d'Ivoire,Africa,1997,lifeExp,47.991
Cote d'Ivoire,Africa,1997,pop,14625967.0
Cote d'Ivoire,Africa,2002,gdpPercap,1648.800823
Cote d'Ivoire,Africa,2002,lifeExp,46.832
Cote d'Ivoire,Africa,2002,pop,16252726.0
Cote d'Ivoire,Africa,2007,gdpPercap,1544.750112
Cote d'Ivoire,Africa,2007,lifeExp,48.328
Cote d'Ivoire,Africa,2007,pop,18013409.0
Djibouti,Africa,1952,gdpPercap,2669.529475
Djibouti,Africa,1952,lifeExp,34.812
Djibouti,Africa,1952,pop,63149.0
Djibouti,Africa,1957,gdpPercap,2864.969076
Djibouti,Africa,1957,lifeExp,37.328
Djibouti,Africa,1957,pop,71851.0
Djibouti,Africa,1962,gdpPercap,3020.989263
Djibouti,Africa,1962,lifeExp,39.693
Djibouti,Africa,1962,pop,89898.0
Djibouti,Africa,1967,gdpPercap,3020.050513
Djibouti,Africa,1967,lifeExp,42.074
Djibouti,Africa,1967,pop,127617.0
Djibouti,Africa,1972,gdpPercap,3694.212352
Djibouti,Africa,1972,lifeExp,44.366
Djibouti,Africa,1972,pop,178848.0
Djibouti,Africa,1977,gdpPercap,3081.761022
Djibouti,Africa,1977,lifeExp,46.519
Djibouti,Africa,1977,pop,228694.0
Djibouti,Africa,1982,gdpPercap,2879.468067
Djibouti,Africa,1982,lifeExp,48.812
Djibouti,Africa,1982,pop,305991.0
Djibouti,Africa,1987,gdpPercap,2880.102568
Djibouti,Africa,1987,lifeExp,50.04
Djibouti,Africa,1987,pop,311025.0
Djibouti,Africa,1992,gdpPercap,2377.156192
Djibouti,Africa,1992,lifeExp,51.604
Djibouti,Africa,1992,pop,384156.0
Djibouti,Africa,1997,gdpPercap,1895.016984
Djibouti,Africa,1997,lifeExp,53.157
Djibouti,Africa,1997,pop,417908.0
Djibouti,Africa,2002,gdpPercap,1908.260867
Djibouti,Africa,2002,lifeExp,53.373
Djibouti,Africa,2002,pop,447416.0
Djibouti,Africa,2007,gdpPercap,2082.481567
Djibouti,Africa,2007,lifeExp,54.791
Djibouti,Africa,2007,pop,496374.0
Egypt,Africa,1952,gdpPercap,1418.822445
Egypt,Africa,1952,lifeExp,41.893
Egypt,Africa,1952,pop,22223309.0
Egypt,Africa,1957,gdpPercap,1458.915272
Egypt,Africa,1957,lifeExp,44.444
Egypt,Africa,1957,pop,25009741.0
Egypt,Africa,1962,gdpPercap,1693.335853
Egypt,Africa,1962,lifeExp,46.992
Egypt,Africa,1962,pop,28173309.0
Egypt,Africa,1967,gdpPercap,1814.880728
Egypt,Africa,1967,lifeExp,49.293
Egypt,Africa,1967,pop,31681188.0
Egypt,Africa,1972,gdpPercap,2024.008147
Egypt,Africa,1972,lifeExp,51.137
Egypt,Africa,1972,pop,34807417.0
Egypt,Africa,1977,gdpPercap,2785.493582
Egypt,Africa,1977,lifeExp,53.319
Egypt,Africa,1977,pop,38783863.0
Egypt,Africa,1982,gdpPercap,3503.729636
Egypt,Africa,1982,lifeExp,56.006
Egypt,Africa,1982,pop,45681811.0
Egypt,Africa,1987,gdpPercap,3885.46071
Egypt,Africa,1987,lifeExp,59.797
Egypt,Africa,1987,pop,52799062.0
Egypt,Africa,1992,gdpPercap,3794.755195
Egypt,Africa,1992,lifeExp,63.674
Egypt,Africa,1992,pop,59402198.0
Egypt,Africa,1997,gdpPercap,4173.181797
Egypt,Africa,1997,lifeExp,67.217
Egypt,Africa,1997,pop,66134291.0
Egypt,Africa,2002,gdpPercap,4754.604414
Egypt,Africa,2002,lifeExp,69.806
Egypt,Africa,2002,pop,73312559.0
Egypt,Africa,2007,gdpPercap,5581.180998
Egypt,Africa,2007,lifeExp,71.338
Egypt,Africa,2007,pop,80264543.0
Equatorial Guinea,Africa,1952,gdpPercap,375.6431231
Equatorial Guinea,Africa,1952,lifeExp,34.482
Equatorial Guinea,Africa,1952,pop,216964.0
Equatorial Guinea,Africa,1957,gdpPercap,426.0964081
Equatorial Guinea,Africa,1957,lifeExp,35.983
Equatorial Guinea,Africa,1957,pop,232922.0
Equatorial Guinea,Africa,1962,gdpPercap,582.8419714
Equatorial Guinea,Africa,1962,lifeExp,37.485
Equatorial Guinea,Africa,1962,pop,249220.0
Equatorial Guinea,Africa,1967,gdpPercap,915.5960025
Equatorial Guinea,Africa,1967,lifeExp,38.987
Equatorial Guinea,Africa,1967,pop,259864.0
Equatorial Guinea,Africa,1972,gdpPercap,672.4122571
Equatorial Guinea,Africa,1972,lifeExp,40.516
Equatorial Guinea,Africa,1972,pop,277603.0
Equatorial Guinea,Africa,1977,gdpPercap,958.5668124
Equatorial Guinea,Africa,1977,lifeExp,42.024
Equatorial Guinea,Africa,1977,pop,192675.0
Equatorial Guinea,Africa,1982,gdpPercap,927.8253427
Equatorial Guinea,Africa,1982,lifeExp,43.662
Equatorial Guinea,Africa,1982,pop,285483.0
Equatorial Guinea,Africa,1987,gdpPercap,966.8968149
Equatorial Guinea,Africa,1987,lifeExp,45.664
Equatorial Guinea,Africa,1987,pop,341244.0
Equatorial Guinea,Africa,1992,gdpPercap,1132.055034
Equatorial Guinea,Africa,1992,lifeExp,47.545
Equatorial Guinea,Africa,1992,pop,387838.0
Equatorial Guinea,Africa,1997,gdpPercap,2814.480755
Equatorial Guinea,Africa,1997,lifeExp,48.245
Equatorial Guinea,Africa,1997,pop,439971.0
Equatorial Guinea,Africa,2002,gdpPercap,7703.4959
Equatorial Guinea,Africa,2002,lifeExp,49.348
Equatorial Guinea,Africa,2002,pop,495627.0
Equatorial Guinea,Africa,2007,gdpPercap,12154.08975
Equatorial Guinea,Africa,2007,lifeExp,51.579
Equatorial Guinea,Africa,2007,pop,551201.0
Eritrea,Africa,1952,gdpPercap,328.9405571
Eritrea,Africa,1952,lifeExp,35.928
Eritrea,Africa,1952,pop,1438760.0
